word_id,is_irregular,conjugations
8,TRUE,"{""indicative"": {""present"": {""yo"": ""soy"", ""tú"": ""eres"", ""él"": ""es"", ""nosotros"": ""somos"", ""vosotros"": ""sois"", ""ellos"": ""son""}, ""preterite"": {""yo"": ""fui"", ""tú"": ""fuiste"", ""él"": ""fue"", ""nosotros"": ""fuimos"", ""vosotros"": ""fuisteis"", ""ellos"": ""fueron""}, ""imperfect"": {""yo"": ""era"", ""tú"": ""eras"", ""él"": ""era"", ""nosotros"": ""éramos"", ""vosotros"": ""erais"", ""ellos"": ""eran""}}, ""subjunctive"": {""present"": {""yo"": ""sea"", ""tú"": ""seas"", ""él"": ""sea"", ""nosotros"": ""seamos"", ""vosotros"": ""seáis"", ""ellos"": ""sean""}}}"
11,TRUE,"{""indicative"": {""present"": {""yo"": ""he"", ""tú"": ""has"", ""él"": ""ha"", ""nosotros"": ""hemos"", ""vosotros"": ""habéis"", ""ellos"": ""han""}, ""preterite"": {""yo"": ""hube"", ""tú"": ""hubiste"", ""él"": ""hubo"", ""nosotros"": ""hubimos"", ""vosotros"": ""hubisteis"", ""ellos"": ""hubieron""}, ""imperfect"": {""yo"": ""había"", ""tú"": ""habías"", ""él"": ""había"", ""nosotros"": ""habíamos"", ""vosotros"": ""habíais"", ""ellos"": ""habían""}}, ""subjunctive"": {""present"": {""yo"": ""haya"", ""tú"": ""hayas"", ""él"": ""haya"", ""nosotros"": ""hayamos"", ""vosotros"": ""hayáis"", ""ellos"": ""hayan""}}}"
17,TRUE,"{""indicative"": {""present"": {""yo"": ""estoy"", ""tú"": ""estás"", ""él"": ""está"", ""nosotros"": ""estamos"", ""vosotros"": ""estáis"", ""ellos"": ""están""}, ""preterite"": {""yo"": ""estuve"", ""tú"": ""estuviste"", ""él"": ""estuvo"", ""nosotros"": ""estuvimos"", ""vosotros"": ""estuvisteis"", ""ellos"": ""estuvieron""}, ""imperfect"": {""yo"": ""estaba"", ""tú"": ""estabas"", ""él"": ""estaba"", ""nosotros"": ""estábamos"", ""vosotros"": ""estabais"", ""ellos"": ""estaban""}}, ""subjunctive"": {""present"": {""yo"": ""esté"", ""tú"": ""estés"", ""él"": ""esté"", ""nosotros"": ""estemos"", ""vosotros"": ""estéis"", ""ellos"": ""estén""}}}"
18,TRUE,"{""indicative"": {""present"": {""yo"": ""tengo"", ""tú"": ""tienes"", ""él"": ""tiene"", ""nosotros"": ""tenemos"", ""vosotros"": ""tenéis"", ""ellos"": ""tienen""}, ""preterite"": {""yo"": ""tuve"", ""tú"": ""tuviste"", ""él"": ""tuvo"", ""nosotros"": ""tuvimos"", ""vosotros"": ""tuvisteis"", ""ellos"": ""tuvieron""}, ""imperfect"": {""yo"": ""tenía"", ""tú"": ""tenías"", ""él"": ""tenía"", ""nosotros"": ""teníamos"", ""vosotros"": ""teníais"", ""ellos"": ""tenían""}}, ""subjunctive"": {""present"": {""yo"": ""tenga"", ""tú"": ""tengas"", ""él"": ""tenga"", ""nosotros"": ""tengamos"", ""vosotros"": ""tengáis"", ""ellos"": ""tengan""}}}"
25,TRUE,"{""indicative"": {""present"": {""yo"": ""hago"", ""tú"": ""haces"", ""él"": ""hace"", ""nosotros"": ""hacemos"", ""vosotros"": ""hacéis"", ""ellos"": ""hacen""}, ""preterite"": {""yo"": ""hice"", ""tú"": ""hiciste"", ""él"": ""hizo"", ""nosotros"": ""hicimos"", ""vosotros"": ""hicisteis"", ""ellos"": ""hicieron""}, ""imperfect"": {""yo"": ""hacía"", ""tú"": ""hacías"", ""él"": ""hacía"", ""nosotros"": ""hacíamos"", ""vosotros"": ""hacíais"", ""ellos"": ""hacían""}}, ""subjunctive"": {""present"": {""yo"": ""haga"", ""tú"": ""hagas"", ""él"": ""haga"", ""nosotros"": ""hagamos"", ""vosotros"": ""hagáis"", ""ellos"": ""hagan""}}}"
27,TRUE,"{""indicative"": {""present"": {""yo"": ""puedo"", ""tú"": ""puedes"", ""él"": ""puede"", ""nosotros"": ""podemos"", ""vosotros"": ""podéis"", ""ellos"": ""pueden""}, ""preterite"": {""yo"": ""pude"", ""tú"": ""pudiste"", ""él"": ""pudo"", ""nosotros"": ""pudimos"", ""vosotros"": ""pudisteis"", ""ellos"": ""pudieron""}, ""imperfect"": {""yo"": ""podía"", ""tú"": ""podías"", ""él"": ""podía"", ""nosotros"": ""podíamos"", ""vosotros"": ""podíais"", ""ellos"": ""podían""}}, ""subjunctive"": {""present"": {""yo"": ""pueda"", ""tú"": ""puedas"", ""él"": ""pueda"", ""nosotros"": ""podamos"", ""vosotros"": ""podáis"", ""ellos"": ""puedan""}}}"
28,TRUE,"{""indicative"": {""present"": {""yo"": ""digo"", ""tú"": ""dices"", ""él"": ""dice"", ""nosotros"": ""decimos"", ""vosotros"": ""decís"", ""ellos"": ""dicen""}, ""preterite"": {""yo"": ""dije"", ""tú"": ""dijiste"", ""él"": ""dijo"", ""nosotros"": ""dijimos"", ""vosotros"": ""dijisteis"", ""ellos"": ""dijeron""}, ""imperfect"": {""yo"": ""decía"", ""tú"": ""decías"", ""él"": ""decía"", ""nosotros"": ""decíamos"", ""vosotros"": ""decíais"", ""ellos"": ""decían""}}, ""subjunctive"": {""present"": {""yo"": ""diga"", ""tú"": ""digas"", ""él"": ""diga"", ""nosotros"": ""digamos"", ""vosotros"": ""digáis"", ""ellos"": ""digan""}}}"
30,TRUE,"{""indicative"": {""present"": {""yo"": ""voy"", ""tú"": ""vas"", ""él"": ""va"", ""nosotros"": ""vamos"", ""vosotros"": ""vais"", ""ellos"": ""van""}, ""preterite"": {""yo"": ""fui"", ""tú"": ""fuiste"", ""él"": ""fue"", ""nosotros"": ""fuimos"", ""vosotros"": ""fuisteis"", ""ellos"": ""fueron""}, ""imperfect"": {""yo"": ""iba"", ""tú"": ""ibas"", ""él"": ""iba"", ""nosotros"": ""íbamos"", ""vosotros"": ""ibais"", ""ellos"": ""iban""}}, ""subjunctive"": {""present"": {""yo"": ""vaya"", ""tú"": ""vayas"", ""él"": ""vaya"", ""nosotros"": ""vayamos"", ""vosotros"": ""vayáis"", ""ellos"": ""vayan""}}}"
37,TRUE,"{""indicative"": {""present"": {""yo"": ""veo"", ""tú"": ""ves"", ""él"": ""ve"", ""nosotros"": ""vemos"", ""vosotros"": ""veis"", ""ellos"": ""ven""}, ""preterite"": {""yo"": ""vi"", ""tú"": ""viste"", ""él"": ""vio"", ""nosotros"": ""vimos"", ""vosotros"": ""visteis"", ""ellos"": ""vieron""}, ""imperfect"": {""yo"": ""veía"", ""tú"": ""veías"", ""él"": ""veía"", ""nosotros"": ""veíamos"", ""vosotros"": ""veíais"", ""ellos"": ""veían""}}, ""subjunctive"": {""present"": {""yo"": ""vea"", ""tú"": ""veas"", ""él"": ""vea"", ""nosotros"": ""veamos"", ""vosotros"": ""veáis"", ""ellos"": ""vean""}}}"
39,TRUE,"{""indicative"": {""present"": {""yo"": ""doy"", ""tú"": ""das"", ""él"": ""da"", ""nosotros"": ""damos"", ""vosotros"": ""dais"", ""ellos"": ""dan""}, ""preterite"": {""yo"": ""di"", ""tú"": ""diste"", ""él"": ""dio"", ""nosotros"": ""dimos"", ""vosotros"": ""disteis"", ""ellos"": ""dieron""}, ""imperfect"": {""yo"": ""daba"", ""tú"": ""dabas"", ""él"": ""daba"", ""nosotros"": ""dábamos"", ""vosotros"": ""dabais"", ""ellos"": ""daban""}}, ""subjunctive"": {""present"": {""yo"": ""dé"", ""tú"": ""des"", ""él"": ""dé"", ""nosotros"": ""demos"", ""vosotros"": ""deis"", ""ellos"": ""den""}}}"
