순위,스페인어,품사,의미,분류코드
1,"el, la",art,the,B-1
2,de,prep,"of, from",B-1
3,que,conj,"that, which",B-1
4,y,conj,and,B-1
5,a,prep,"to, at",B-1
6,en,prep,"in, on",B-1
7,un,art,"a, an",B-1
8,ser,v,to be (norm),B-2
9,se,pron,"[""reflexive"" marker]",B-1
10,no,adv,no,A-1-a
11,haber,v,to have (+Ved),B-2
12,por,prep,"by, for, through",B-1
13,con,prep,with,B-1
14,su,adj,his/her/their/your (-fam),B-1
15,para,prep,"for, to, in order to",B-1
16,como,conj,"like, as",B-2
17,estar,v,"to be (location, change from norm)",B-2
18,tener,v,to have,B-2
19,le,pron,[3rd person] (indir obj),B-1
20,lo,art,the (+n),B-1
21,lo,pron,[3rd person] (dir obj-m),B-1
22,todo,adj,"all, every",B-2
23,pero,conj,"but, yet, except",B-2
24,más,adj,more,B-2
25,hacer,v,"to do, make",B-2
26,o,conj,or,A-1-a
27,poder,v,"to be able to, can",B-2
28,decir,v,"to tell, say",A-3
29,este,adj,this (m) [esta (f)],B-2
30,ir,v,to go,B-2
31,otro,adj,"other, another",A-3
32,ese,adj,that (m) [esa (f)],B-2
33,la,pron,[3rd person] (dir obj-f),B-1
34,si,conj,"if, whether",B-1
35,me,pron,me (obj),A-1-a
36,ya,adv,"already, still",B-2
37,ver,v,to see,A-3
38,porque,conj,because,B-2
39,dar,v,to give,A-3
40,cuando,conj,when,B-2
41,él,pron,"he, [ellos] them (m)",B-2
42,muy,adv,"very, really",B-2
43,sin,prep,without,B-2
44,vez,nf,time (specific occurrence),B-2
45,mucho,adj,"much, many, a lot (adv)",B-2
46,saber,v,"to know (a fact), find out",B-2
47,qué,pron,"what?, which?, how (+ adj)!",B-2
48,sobre,prep,"on top of, over, about",B-2
49,mi,adj,my,A-1-b
50,alguno,adj,"some, someone (pron)",B-2
51,mismo,adj,same,B-2
52,yo,pron,I (subj),B-2
53,también,adv,also,B-2
54,hasta,prep,"until, up to, even (adv)",B-2
55,año,nm,year,A-3
56,dos,num,two,A-3
57,querer,v,"to want, love",B-2
58,entre,prep,"between, among",A-3
59,así,adv,like that,B-2
60,primero,adj,first,A-3
61,desde,prep,"from, since",B-2
62,grande,adj,"large, great, big",A-3
63,eso,pron,that (n),B-2
64,ni,conj,"not even, neither, nor",B-1
65,nos,pron,us (obj),A-1-a
66,llegar,v,to arrive,B-2
67,pasar,v,"to pass, spend (time)",A-3
68,tiempo,nm,"time (general), weather",A-3
69,ella,pron,"she, [ellas] them (f)",B-2
70,sí,adv,yes,B-2
71,día,nm,day,A-4
72,uno,num,one,A-3
73,bien,adv,well,B-2
74,poco,adj,"little, few, a little bit (adv)",B-2
75,deber,v,"should, ought to, to owe",A-3
76,entonces,adv,"so, then",B-2
77,poner,v,"to put (on), get (+adj)",B-2
78,cosa,nf,thing,B-2
79,tanto,adj,"so much, so many",B-2
80,hombre,nm,"man, mankind, husband",A-3
81,parecer,v,"to seem, look like",B-2
82,nuestro,adj,our,B-2
83,tan,adv,"such, as, too, so",B-2
84,donde,conj,where,B-2
85,ahora,adv,now,B-2
86,parte,nf,"part, portion",A-1-b
87,después,adv,after,B-2
88,vida,nf,life,A-3
89,quedar,v,"to remain, stay",A-3
90,siempre,adv,"always, forever",B-2
91,creer,v,"to believe, think",A-3
92,hablar,v,"to speak, talk",A-3
93,llevar,v,"to take, carry",B-2
94,dejar,v,"to let, leave",B-2
95,nada,pron,"nothing, (not) at all",B-2
96,cada,adj,"each, every",B-2
97,seguir,v,"to follow, keep on",A-3
98,menos,adj,"less, fewer",A-3
99,nuevo,adj,new,B-2
100,encontrar,v,to find,B-2
101,algo,pron,"something, somewhat",B-2
102,sólo,adv,"only, just",A-3
103,pues,conj,"then, well then",B-2
104,llamar,v,"to call, name",A-3
105,venir,v,to come,B-2
106,pensar,v,to think,A-3
107,aquel,adj,that (over there),B-2
108,momento,nm,"moment, time",A-1-b
109,sino,conj,"but, except, rather",B-1
110,esto,pron,this (n),B-2
111,salir,v,"to leave, go out",B-2
112,volver,v,"to return, to V again",A-3
113,forma,nf,"form, shape, way",A-1-b
114,antes,adv,before,B-2
115,bueno,adj,good,B-2
116,casa,nf,house,B-2
117,aunque,conj,"although, even though",B-2
118,mundo,nm,world,B-2
119,tres,num,three,A-3
120,tal,adj,such (a),B-2
121,mejor,adj,"best, better (adv)",B-2
122,tomar,v,"to take, drink",B-2
123,cierto,adj,"certain, sure, true",A-3
124,conocer,v,to know (someone or place),A-3
125,hacia,prep,"toward, towards",B-2
126,cómo,adv,how?,B-2
127,mujer,nf,"woman, wife",B-2
128,vivir,v,to live,A-3
129,aquí,adv,here,B-2
130,caso,nm,"case, occasion",A-1-b
131,sentir,v,"to feel, regret",A-3
132,luego,adv,"later, afterwards",B-2
133,país,nm,country,B-2
134,tratar,v,"to try, treat, deal with",A-3
135,lugar,nm,"place, position",B-2
136,te,pron,you (obj/+fam),B-1
137,persona,nf,person,A-1-a
138,mayor,adj,"larger, older, main",A-3
139,último,adj,"last, final",A-3
140,propio,adj,"own, proper, typical",A-3
141,quien,pron,"who, whom",B-1
142,mirar,v,"to look, watch",A-3
143,hora,nf,"hour, time (specific)",A-3
144,ninguno,adj,"no, none, nobody (pron)",B-2
145,trabajo,nm,"work, job, effort",B-2
146,casi,adv,"almost, nearly",A-3
147,punto,nm,"point, dot, period",A-3
148,durante,adv,"during, for (time)",A-3
149,cualquier,adj,"any, anyone (pron)",B-2
150,mano,nf,hand,A-3
151,nunca,adv,"never, ever",B-2
152,manera,nf,"way, manner",B-2
153,cual,pron,"which, who, whom",B-1
154,mientras,conj,"while, whereas, as long as",B-2
155,contar,v,"to tell, count",A-3
156,fin,nm,end,A-3
157,tipo,nm,"type, kind",A-1-b
158,gente,nf,people,A-3
159,además,adv,"also, as well, besides",B-2
160,solo,adj,"lonely, alone",A-1-a
161,empezar,v,"to begin, start",B-2
162,ejemplo,nm,example,A-2
163,esperar,v,"to wait, hope (for), expect",A-3
164,hoy,adv,"today, nowadays",B-2
165,lado,nm,side,B-2
166,hijo,nm,"son, [pl] children",B-2
167,allí,adv,"there, over there",B-2
168,éste,pron,"this one (m), (ésta (f))",B-2
169,problema,nm,problem,A-1-b
170,cuenta,nf,"bill, account",B-2
171,medio,nm,"means, middle; por medio: through",A-3
172,contra,prep,"against, opposite",A-1-a
173,buscar,v,to look for,B-2
174,dentro,adv,inside,B-2
175,largo,adj,long,B-3
176,palabra,nf,word,B-2
177,existir,v,to exist,A-1-a
178,niño,nm,"child, little boy",B-2
179,entrar,v,to enter,A-3
180,embargo,nm,sin embargo: nevertheless,B-2
181,único,adj,"only, unique, sole",A-2
182,padre,nm,father,B-2
183,trabajar,v,to work,B-2
184,pequeño,adj,"little, small, young",B-2
185,alto,adj,"tall, high",B-2
186,cambio,nm,change,B-2
187,escribir,v,to write,A-3
188,cuatro,num,four,B-2
189,ahí,adv,there,B-2
190,perder,v,"to lose, miss",B-2
191,nosotros,pron,we (subj),B-1
192,historia,nf,"history, story",A-2
193,idea,nf,idea,A-1-a
194,agua,nf (el),water,A-3
195,producir,v,"to produce, cause",A-2
196,noche,nf,"night, evening",B-2
197,ciudad,nf,city,A-2
198,modo,nm,"way, manner",A-3
199,nombre,nm,"name, noun",A-3
200,ocurrir,v,"to happen, occur",A-2
201,familia,nf,family,A-1-b
202,realidad,nf,"reality, actuality",A-2
203,entender,v,to understand,B-2
204,pedir,v,"to ask for, request",A-3
205,recibir,v,to receive,A-3
206,obra,nf,"work, book, deed",B-2
207,importante,adj,important,A-1-b
208,medio,adj,"half, middle",A-3
209,verdad,nf,truth,A-3
210,mes,nm,month,B-2
211,todavía,adv,"still, yet",B-2
212,razón,nf,reason; tener razón: to be right,A-2
213,cuanto,adj,"en cuanto a: in terms of, regarding",B-2
214,bajo,prep,"under, underneath",B-2
215,recordar,v,"to remember, remind",A-3
216,grupo,nm,group,A-1-a
217,mil,num,thousand,B-2
218,humano,adj,human,A-1-a
219,terminar,v,"to finish, end",A-3
220,permitir,v,"to allow, permit",A-3
221,aparecer,v,to appear,B-2
222,conseguir,v,"to get, acquire, obtain",B-2
223,comenzar,v,"to begin, start",A-3
224,varios,adj,"several, various",A-2
225,posible,adj,possible,A-1-b
226,servir,v,to serve,A-1-a
227,general,adj,general,A-1-a
228,sacar,v,to take out,B-2
229,necesitar,v,to need,A-2
230,relación,nf,"relationship, relation",A-2
231,cinco,num,five,B-2
232,cuerpo,nm,body,A-3
233,nadie,pron,"nobody, anybody",B-2
234,mantener,v,"to keep, maintain",A-3
235,hecho,nm,"fact, happening",B-2
236,ante,prep,"before, in the presence of",B-1
237,principio,nm,"beginning, principle",A-2
238,resultar,v,"to result, turn out",A-2
239,igual,adj,"equal, same (as)",A-2
240,señor,nm,"sir, Mr, lord",B-2
241,pueblo,nm,"people, village",B-2
242,tarde,nf,"afternoon, evening",B-2
243,segundo,adj,second,A-1-b
244,leer,v,to read,B-2
245,caer,v,to fall,B-2
246,cambiar,v,to change,B-2
247,ojo,nm,eye,A-3
248,calle,nf,street,B-2
249,presentar,v,"to introduce, present",A-2
250,blanco,adj,white,B-2
251,crear,v,to create,A-1-a
252,abrir,v,to open,B-2
253,libro,nm,book,B-2
254,distinto,adj,"distinct, different",A-2
255,fuerza,nf,"strength, force, power",B-2
256,luz,nf,light,B-2
257,según,prep,according to,B-1
258,santo,nm,saint (m),A-3
259,claro,adj,clear,A-3
260,frente,nmf,al frente: facing; frente a: across from,A-3
261,considerar,v,to consider,A-1-b
262,amigo,nm,friend,B-2
263,oír,v,to hear,A-3
264,cuyo,adj,whose,B-2
265,sentido,nm,"sense, feeling",A-3
266,acabar,v,acabar de V: to have just Ved; finish,B-2
267,paso,nm,"step, pace",B-2
268,situación,nf,situation,A-2
269,usted,pron,you (subj/-fam),B-1
270,bastante,adj,"rather, fairly, quite a bit (adv)",B-2
271,convertir,v,"to convert, change, become",A-2
272,gracia,nf,"(pl) thank you; grace, favor",A-2
273,siglo,nm,"century, age",B-2
274,dios,nm,"god, divinity",A-3
275,malo,adj,bad,B-2
276,tierra,nf,"earth, land, ground",A-3
277,papel,nm,"paper, role, part",A-1-a
278,madre,nf,mother,B-2
279,tampoco,adv,"neither, nor, either",B-2
280,social,adj,social,A-1-a
281,viejo,adj,"old, aged",B-2
282,aún,adv,"still, yet",B-2
283,tema,nm,"theme, subject, topic",A-3
284,político,adj,political,A-2
285,español,adj,Spanish,B-2
286,ganar,v,"to win, earn",B-2
287,formar,v,to form,A-1-b
288,clase,nf,"kind, class, order",A-1-b
289,traer,v,"to bring, carry",B-2
290,partir,v,"to divide, leave; a partir de: starting",A-1-b
291,dinero,nm,money,B-2
292,quién,pron,"who?, whom?",B-1
293,morir,v,to die,A-3
294,incluso,adv,"including, even (adv)",A-2
295,campo,nm,"field, country",A-3
296,aceptar,v,to accept,A-2
297,quizás,adv,"perhaps, maybe",B-2
298,cabeza,nf,head (part of body),B-2
299,realizar,v,"to fulfill, carry out",A-2
300,ciento,num,hundred,A-3
301,mal,adv,badly,B-2
302,orden,nmf,"order; sequence (m), religious order (f)",A-1-b
303,don,nm,"courtesy title (m), Mr, gift",B-2
304,semana,nf,week,B-2
305,suponer,v,"to suppose, assume",A-2
306,comprender,v,to understand,A-3
307,final,nmf,"al final: finally, in the end",A-1-a
308,interés,nm,interest,A-1-b
309,siguiente,adj,"following, next",B-2
310,vista,nf,"view, sight",A-3
311,lograr,v,"to achieve, get, manage",B-2
312,demás,adj,"the rest, others",B-2
313,acuerdo,nm,accord; de acuerdo: in agreement,A-3
314,difícil,adj,"difficult, hard",A-2
315,número,nm,number,A-1-b
316,explicar,v,to explain,A-3
317,negro,adj,black,B-2
318,fondo,nm,"bottom, end",B-2
319,camino,nm,"road, route, path",B-2
320,voz,nf,voice,A-3
321,estudio,nm,"study, learning",A-2
322,necesario,adj,necessary,A-2
323,preguntar,v,to ask (a question),B-2
324,allá,adv,"there, over there",B-2
325,tocar,v,"to touch, play (instrument)",B-2
326,valor,nm,"value, worth",A-1-b
327,reconocer,v,"to recognize, admit",A-3
328,estudiar,v,to study,A-2
329,alcanzar,v,"to reach, catch up with",B-2
330,nacer,v,to be born,A-3
331,dirigir,v,"to direct, manage",A-2
332,correr,v,to run,B-2
333,medida,nf,measure; a medida que: to the extent,A-3
334,menor,adj,"younger, youngest",A-3
335,demasiado,adj,"too much, too many",B-2
336,solamente,adv,only,A-3
337,bueno,adv,well...,B-2
338,utilizar,v,"to use, utilize",A-2
339,centro,nm,"center, middle, downtown",A-3
340,necesidad,nf,"necessity, need",A-2
341,condición,nf,condition,A-2
342,pagar,v,to pay,B-2
343,ello,pron,it (subj-n),B-1
344,falta,nf,"lack, shortage",B-2
345,ayudar,v,to help,A-3
346,diez,num,ten,B-2
347,través,adv,"a través: across, over, through",B-2
348,antiguo,adj,"old, ancient, former",A-3
349,tu,adj,your (sg/+fam),B-1
350,edad,nf,age,B-2
351,estado,nm,"state, condition, status",A-1-b
352,ser,nm,being,B-2
353,gustar,v,to be pleasing to,B-2
354,puerta,nf,door,B-2
355,jugar,v,to play (sport/game),B-2
356,cara,nf,"face, expression",B-2
357,mí,pron,me (obj prep),B-1
358,época,nf,"time, age, period",A-3
359,color,nm,color,A-1-a
360,escuchar,v,to listen to,B-2
361,experiencia,nf,experience,A-2
362,movimiento,nm,movement,A-3
363,cumplir,v,to fulfill,A-3
364,especial,adj,special,A-2
365,diferente,adj,"different, separate",A-1-b
366,pesar,nm,sorrow; a pesar de: in spite of,B-2
367,posibilidad,nf,possibility,A-2
368,ofrecer,v,"to offer, present",A-3
369,descubrir,v,to discover,A-3
370,anterior,adj,"previous, preceding",A-2
371,juego,nm,"game, play, sport",B-2
372,levantar,v,"to raise, lift",B-2
373,pobre,adj,poor,A-3
374,aire,nm,"air, wind, appearance",A-1-b
375,seis,num,six,B-2
376,intentar,v,"to try, attempt",A-3
377,guerra,nf,"war, warfare",A-3
378,junto,adv,"together with, next to",A-3
379,resultado,nm,"result, outcome",A-2
380,usar,v,to use,A-1-a
381,decidir,v,to decide,A-2
382,repetir,v,to repeat,A-2
383,olvidar,v,to forget,B-2
384,ley,nf,"law, bill, rule",A-3
385,aspecto,nm,"aspect, appearance",A-2
386,pie,nm,"foot, base",A-3
387,valer,v,"to be worth, cost",A-3
388,especie,nf,"kind, sort, species",A-2
389,comer,v,to eat,B-2
390,servicio,nm,"service, helpfulness",A-1-b
391,cerca,adv,"close, near",B-2
392,mostrar,v,to show,B-2
393,actividad,nf,"activity, action",A-2
394,tercero,adj,third,B-2
395,cuál,pron,which?,B-2
396,pronto,adv,"soon, quick",B-2
397,ocupar,v,"to occupy, use",A-2
398,cuestión,nf,"question, matter",A-2
399,duda,nf,doubt,B-2
400,diferencia,nf,difference,A-2
401,mañana,nf,"morning, tomorrow",B-2
402,mover,v,"to move, incite",A-1-a
403,continuar,v,to continue,A-2
404,cantidad,nf,"quantity, amount",A-2
405,acción,nf,"action, act, deed",A-2
406,suceder,v,to happen,A-3
407,fijar,v,"to set, fix, [se] notice",A-1-a
408,sociedad,nf,society,A-2
409,referir,v,to refer (to),A-1-a
410,acercar,v,to come near,B-2
411,capaz,adj,"capable, able",A-2
412,bajo,adj,"short, low",B-2
413,libre,adj,"free, vacant",A-3
414,natural,adj,natural,A-1-a
415,dedicar,v,"to dedicate, devote",A-2
416,realmente,adv,"really, actually, in fact",A-2
417,peso,nm,"peso (money), weight, load",B-2
418,efecto,nm,effect,A-2
419,objeto,nm,"object, thing",A-2
420,verdadero,adj,"true, real",B-2
421,dónde,adv,where?,B-2
422,aprender,v,to learn,A-3
423,amor,nm,love,A-3
424,muerte,nf,death,A-3
425,partido,nm,"party, group, (sports) match",A-1-b
426,económico,adj,economic,A-2
427,derecho,nm,"right, justice, law",B-2
428,poder,nm,power,A-1-b
429,importancia,nf,importance,A-2
430,sistema,nm,system,A-1-b
431,viaje,nm,"travel, trip",A-3
432,suelo,nm,"ground, floor",B-2
433,respecto,nm,"respect, con respecto a: with regards to",A-2
434,conocimiento,nm,knowledge,B-2
435,libertad,nf,"freedom, liberty",A-2
436,encima,adv,"above, on top, in addition",B-2
437,comprar,v,to buy,B-2
438,común,adj,common,A-1-b
439,abierto,adj,"open, unlocked",B-2
440,próximo,adj,next,A-3
441,atención,nf,attention,A-2
442,joven,adj,young,B-2
443,subir,v,to go up,B-2
444,esfuerzo,nm,"effort, endeavor",B-2
445,pasado,adj,"past, last",A-1-b
446,evitar,v,"to avoid, prevent",A-3
447,resto,nm,"rest, remainder, leftover",A-1-a
448,interesar,v,to interest,A-2
449,zona,nf,"area, zone",A-1-a
450,miedo,nm,fear,B-2
451,fuera,adv,"out, outside, away",B-2
452,proceso,nm,"process, procedure",A-1-b
453,vivo,adj,"alive, bright",A-3
454,cerrar,v,to close,B-2
455,echar,v,"to throw, cast",B-2
456,responder,v,"to answer, respond",A-2
457,sufrir,v,"to suffer, undergo",A-1-b
458,completo,adj,complete,A-2
459,minuto,nm,minute,A-1-b
460,contrario,adj,"contrary, opposite",A-1-a
461,mesa,nf,"table, board",B-2
462,real,adj,"royal, real, authentic",A-1-a
463,ocasión,nf,"opportunity, occasion",A-2
464,importar,v,"to matter, import",A-2
465,público,adj,public,A-2
466,obtener,v,to obtain,A-3
467,programa,nm,"program, plan",A-1-a
468,favor,nm,"favor, benefit",A-1-a
469,lejos,adv,"far (away, off)",B-2
470,siete,num,seven,B-2
471,enorme,adj,"enormous, vast",A-2
472,respuesta,nf,"answer, reply",B-2
473,línea,nf,"line, course",A-1-b
474,espacio,nm,"space, room",A-2
475,nivel,nm,level,A-1-b
476,gobierno,nm,government,B-2
