frequency_rank,spanish,part_of_speech,english_meaning,korean,category_code
1,"el, la",art,the,(정관사),B-1
2,de,prep,"of, from","~의, ~로부터",B-1
3,que,conj,"that, which",~하는 것(관계사),B-1
4,y,conj,and,그리고,B-1
5,a,prep,"to, at","~에, ~에게",B-1
6,en,prep,"in, on","~안에, ~위에",B-1
7,un,art,"a, an",(부정관사),B-1
8,ser,v,to be (norm),~이다 (본질),B-2
9,se,pron,[reflexive marker],(재귀/강조 대명사),B-1
10,no,adv,no,아니다,A-1-a
11,haber,v,to have (+Ved),(조동사 have),B-2
12,por,prep,"by, for, through","~에 의해, ~를 위해",B-1
13,con,prep,with,~와 함께,B-1
14,su,adj,his/her/their/your (-fam),그/그녀/그들/당신의,B-1
15,para,prep,"for, to, in order to","~를 위해, ~하기 위해",B-1
16,como,conj,"like, as","~처럼, ~로서",B-2
17,estar,v,"to be (location, change from norm)","~이다 (상태), 있다",B-2
18,tener,v,to have,가지다,B-2
19,le,pron,[3rd person] (indir obj),그에게/그녀에게,B-1
20,lo,art,the (+n),(중성관사),B-1
21,lo,pron,[3rd person] (dir obj-m),그것을(남성),B-1
22,todo,adj,"all, every",모든,B-2
23,pero,conj,"but, yet, except",하지만,B-2
24,más,adj,more,더 많이,B-2
25,hacer,v,"to do, make","하다, 만들다",B-2
26,o,conj,or,또는,A-1-a
27,poder,v,"to be able to, can",할 수 있다,B-2
28,decir,v,"to tell, say",말하다,A-3
29,este,adj,this (m) [esta (f)],이,B-2
30,ir,v,to go,가다,B-2
31,otro,adj,"other, another",다른,A-3
32,ese,adj,that (m) [esa (f)],그,B-2
33,la,pron,[3rd person] (dir obj-f),그것을(여성),B-1
34,si,conj,"if, whether",만약 ~라면,B-1
35,me,pron,me (obj),"나를, 나에게",A-1-a
36,ya,adv,"already, still","이미, 아직",B-2
37,ver,v,to see,보다,A-3
38,porque,conj,because,왜냐하면,B-2
39,dar,v,to give,주다,A-3
40,cuando,conj,when,~할 때,B-2
41,él,pron,"he, [ellos] them (m)",그,B-2
42,muy,adv,"very, really",매우,B-2
43,sin,prep,without,~없이,B-2
44,vez,nf,time (specific occurrence),"번, 때",B-2
45,mucho,adj,"much, many, a lot (adv)",많은,B-2
46,saber,v,"to know (a fact), find out",알다 (정보),B-2
47,qué,pron,"what?, which?, how (+ adj)!","무엇, 어느, 어떻게",B-2
48,sobre,prep,"on top of, over, about","~위에, ~에 관해",B-2
49,mi,adj,my,나의,A-1-b
50,alguno,adj,"some, someone (pron)","몇몇의, 어떤",B-2
51,mismo,adj,same,같은,B-2
52,yo,pron,I (subj),나,B-2
53,también,adv,also,또한,B-2
54,hasta,prep,"until, up to, even (adv)",~까지,B-2
55,año,nm,year,"년, 해",B-2
56,dos,num,two,둘,A-3
57,querer,v,"to want, love","원하다, 사랑하다",B-2
58,entre,prep,"between, among",~사이에,A-3
59,así,adv,like that,"그렇게, 이처럼",B-2
60,primero,adj,first,첫번째의,A-3
61,desde,prep,"from, since",~로부터,B-2
62,grande,adj,"large, great, big",큰,B-2
63,eso,pron,that (n),그것,B-2
64,ni,conj,"not even, neither, nor",~도 아니다,B-1
65,nos,pron,us (obj),"우리를, 우리에게",A-1-a
66,llegar,v,to arrive,도착하다,B-2
67,pasar,v,"to pass, spend (time)","지나가다, 보내다",A-3
68,tiempo,nm,"time (general), weather","시간, 날씨",A-3
69,ella,pron,"she, [ellas] them (f)",그녀,B-2
70,sí,adv,yes,예,B-2
71,día,nm,day,"날, 일",A-4
72,uno,num,one,하나,A-3
73,bien,adv,well,"잘, 좋게",B-2
74,poco,adj,"little, few, a little bit (adv)","조금, 거의 없는",B-2
75,deber,v,"should, ought to, to owe","해야 한다, 빚지다",A-3
76,entonces,adv,"so, then","그러면, 그때",B-2
77,poner,v,"to put (on), get (+adj)","놓다, 두다",B-2
78,cosa,nf,thing,"것, 물건",B-2
79,tanto,adj,"so much, so many",그렇게 많은,B-2
80,hombre,nm,"man, mankind, husband","남자, 인간",A-3
81,parecer,v,"to seem, look like",~처럼 보이다,A-3
82,nuestro,adj,our,우리의,B-2
83,tan,adv,"such, as, too, so",그렇게,B-2
84,donde,conj,where,~하는 곳,B-2
85,ahora,adv,now,지금,B-2
86,parte,nf,"part, portion",부분,A-1-b
87,después,adv,after,후에,B-2
88,vida,nf,life,"삶, 인생",A-3
89,quedar,v,"to remain, stay","남다, 머무르다",A-3
90,siempre,adv,"always, forever",항상,B-2
91,creer,v,"to believe, think","믿다, 생각하다",A-3
92,hablar,v,"to speak, talk",말하다,A-3
93,llevar,v,"to take, carry","가져가다, 입다",B-2
94,dejar,v,"to let, leave","두고 가다, 허락하다",B-2
95,nada,pron,"nothing, (not) at all",아무것도,B-2
96,cada,adj,"each, every",각각의,B-2
97,seguir,v,"to follow, keep on","따라가다, 계속하다",A-3
98,menos,adj,"less, fewer",더 적은,A-3
99,nuevo,adj,new,새로운,B-2
100,encontrar,v,to find,"찾다, 만나다",B-2
101,algo,pron,"something, somewhat","무언가, 다소",B-2
102,sólo,adv,"only, just","오직, 단지",A-3
103,pues,conj,"then, well then","음, 그러면",B-2
104,llamar,v,"to call, name","부르다, 전화하다",A-3
105,venir,v,to come,오다,B-2
106,pensar,v,to think,생각하다,A-3
107,aquel,adj,that (over there),저,B-2
108,momento,nm,"moment, time","순간, 때",A-1-b
109,sino,conj,"but, except, rather",~뿐만 아니라,B-1
110,esto,pron,this (n),이것,B-2
111,salir,v,"to leave, go out","나가다, 떠나다",B-2
112,volver,v,"to return, to V again","돌아오다, 다시 ~하다",A-3
113,forma,nf,"form, shape, way","형태, 방식",A-1-b
114,antes,adv,before,전에,B-2
115,bueno,adj,good,좋은,B-2
116,casa,nf,house,집,B-2
117,aunque,conj,"although, even though",비록 ~일지라도,B-2
118,mundo,nm,world,세계,B-2
119,tres,num,three,셋,A-3
120,tal,adj,such (a),그러한,B-2
121,mejor,adj,"best, better (adv)","더 좋은, 더 잘",B-2
122,tomar,v,"to take, drink","잡다, 마시다",B-2
123,cierto,adj,"certain, sure, true","어떤, 확실한",A-3
124,conocer,v,to know (someone or place),"알다 (사람, 장소)",A-3
125,hacia,prep,"toward, towards",~를 향하여,B-2
126,cómo,adv,how?,어떻게,B-2
127,mujer,nf,"woman, wife","여자, 아내",B-2
128,vivir,v,to live,살다,A-3
129,aquí,adv,here,여기에,B-2
130,caso,nm,"case, occasion","경우, 사건",A-1-b
131,sentir,v,"to feel, regret","느끼다, 유감이다",A-3
132,luego,adv,"later, afterwards",나중에,B-2
133,país,nm,country,나라,B-2
134,tratar,v,"to try, treat, deal with","시도하다, 다루다",A-3
135,lugar,nm,"place, position","장소, 자리",B-2
136,te,pron,you (obj/+fam),너에게,B-1
137,persona,nf,person,사람,A-1-a
138,mayor,adj,"larger, older, main","더 큰, 나이가 더 많은",A-3
139,último,adj,"last, final",마지막의,A-3
140,propio,adj,"own, proper, typical","자신의, 고유의",A-3
141,quien,pron,"who, whom",~하는 사람(관계사),B-1
142,mirar,v,"to look, watch",보다,A-3
143,hora,nf,"hour, time (specific)","시간, 시각",A-3
144,ninguno,adj,"no, none, nobody (pron)",아무도 ~않다,B-2
145,trabajo,nm,"work, job, effort","일, 직업",B-2
146,casi,adv,"almost, nearly",거의,A-3
147,punto,nm,"point, dot, period","점, 시점",A-3
148,durante,adv,"during, for (time)",~동안,A-3
149,cualquier,adj,"any, anyone (pron)",어떤 ~라도,B-2
150,mano,nf,hand,손,A-3
151,nunca,adv,"never, ever",결코 ~않다,B-2
152,manera,nf,"way, manner","방법, 방식",B-2
153,cual,pron,"which, who, whom",~하는 것(관계사),B-1
154,mientras,conj,"while, whereas, as long as",~하는 동안,B-2
155,contar,v,"to tell, count","이야기하다, 세다",A-3
156,fin,nm,end,끝,A-3
157,tipo,nm,"type, kind","유형, 종류",A-1-b
158,gente,nf,people,사람들,A-3
